in 	 tar 
653 	 0 
654 	 9 
655 	 8 
656 	 3 
657 	 2 
658 	 3 
659 	 3 
660 	 9 
661 	 9 
662 	 3 
663 	 3 
664 	 4 
665 	 4 
666 	 2 
667 	 8 
668 	 2 
669 	 7 
670 	 2 
671 	 3 
672 	 6 
673 	 4 
674 	 2 
675 	 6 
676 	 3 
677 	 4 
678 	 4 
679 	 4 
680 	 5 
681 	 4 
682 	 10 
683 	 8 
684 	 7 
685 	 7 
686 	 6 
687 	 9 
688 	 5 
689 	 14 
690 	 19 
691 	 16 
692 	 17 
693 	 16 
694 	 15 
695 	 15 
696 	 5 
697 	 14 
698 	 7 
699 	 5 
700 	 8 
701 	 6 
702 	 14 
703 	 16 
704 	 10 
705 	 8 
706 	 15 
707 	 4 
708 	 1 
709 	 11 
710 	 18 
711 	 3 
712 	 8 
713 	 15 
714 	 3 
715 	 6 
716 	 6 
717 	 4 
718 	 11 
719 	 3 
720 	 16 
721 	 6 
722 	 13 
723 	 15 
724 	 14 
725 	 19 
726 	 16 
727 	 10 
728 	 13 
729 	 8 
730 	 13 
731 	 7 
732 	 12 
733 	 10 
734 	 7 
735 	 4 
736 	 7 
737 	 7 
738 	 9 
739 	 4 
740 	 11 
741 	 9 
742 	 4 
743 	 6 
744 	 4 
745 	 15 
746 	 1 
747 	 7 
748 	 5 
749 	 2 
750 	 10 
751 	 4 
752 	 7 
753 	 11 
754 	 5 
755 	 7 
756 	 6 
757 	 8 
758 	 6 
759 	 9 
760 	 3 
761 	 6 
762 	 4 
763 	 9 
764 	 9 
765 	 3 
766 	 7 
767 	 5 
768 	 3 
769 	 3 
770 	 4 
771 	 15 
772 	 2 
773 	 9 
774 	 8 
775 	 5 
776 	 3 
777 	 4 
778 	 8 
779 	 2 
780 	 12 
781 	 4 
782 	 9 
783 	 5 
784 	 0 
785 	 3 
786 	 5 
787 	 10 
788 	 14 
789 	 3 
790 	 4 
791 	 10 
792 	 5 
793 	 11 
794 	 7 
795 	 3 
796 	 3 
797 	 6 
798 	 4 
799 	 7 
800 	 3 
801 	 8 
802 	 14 
803 	 6 
804 	 4 
805 	 4 
806 	 6 
807 	 5 
808 	 9 
809 	 11 
810 	 7 
811 	 6 
812 	 2 
813 	 7 
814 	 7 
815 	 2 
816 	 12 
817 	 3 
818 	 1 
819 	 3 
820 	 2 
821 	 11 
822 	 13 
823 	 13 
824 	 8 
825 	 5 
826 	 6 
827 	 9 
828 	 6 
829 	 4 
830 	 15 
831 	 14 
832 	 11 
833 	 8 
834 	 5 
835 	 10 
836 	 11 
837 	 7 
838 	 7 
839 	 13 
840 	 12 
841 	 6 
842 	 14 
843 	 6 
844 	 14 
845 	 7 
846 	 8 
847 	 4 
848 	 6 
849 	 5 
850 	 5 
851 	 4 
852 	 3 
853 	 2 
854 	 4 
855 	 5 
856 	 3 
857 	 3 
858 	 9 
859 	 3 
860 	 4 
861 	 2 
862 	 8 
863 	 6 
864 	 4 
865 	 3 
